Finding_ID,Original_Severity,Status,Corrected_Files,Test_IDs,Verification_Result,Remaining_Risk,Notes
AUD-C-001,Critical,Fixed,app/backend/services.py; app/backend/main.py; app/backend/migrations/002_financial_controls.sql,FIN-004; FIN-005; CON-001,"Over-budget amendment returns HTTP 409 AMENDMENT_EXCEEDS_BUDGET and the line amount is unchanged (340000000 before and after). True race replayed: two amendments each 60% of availability against the same control cell - exactly 1 of 2 succeeded, availability remained non-negative (764000 paise).",SQLite BEGIN IMMEDIATE serialises writers on one file. Under a production RDBMS the same section needs SELECT FOR UPDATE or SERIALIZABLE. Not load-tested beyond 2 concurrent writers.,Persistence now requires an independently approved exception reference validated against the same WBS and budget head.
AUD-C-002,Critical,Fixed,app/backend/domain.py; app/backend/main.py,FIN-002,"Ledger re-keyed on the (WBS, budget head) control cell. A Civil-labelled request on a Plant & Machinery WBS is now refused with NO_BUDGET_FOR_HEAD; the correct head resolves to CAPEX-2026-001.03 and succeeds.","Budget head is enforced on budget, PR, PO line and bill line. It is not yet enforced on GRN lines because Zoho receipt lines carry no head (see AUD-H-004).","Budget ownership is resolved per head, so a depleted head cannot be bypassed via a sibling head."
AUD-C-003,Critical,Fixed,app/backend/migrations/002_financial_controls.sql; app/backend/services.py,DATA-001; DATA-002; DOM-003,DB triggers block: bill line referencing another PO's line; GRN line on a foreign PO; PO line whose WBS is in another project; PR whose WBS is in another project; WBS parent in another project. Service layer returns 422 LINE_PO_MISMATCH / PROJECT_WBS_MISMATCH before reaching the DB.,Composite foreign keys are emulated by triggers because SQLite cannot express them directly. A PostgreSQL port should use real composite FKs.,All five reproductions were replayed against the migrated schema and blocked.
AUD-C-004,Critical,Fixed,app/backend/domain.py; app/backend/services.py; app/backend/migrations/002_financial_controls.sql,DOM-004; DOM-005; DOM-012,"accounting_status added with an effective set of {Approved, Reversal}. Void bills are excluded from actual and their commitment is restored. Duplicate external bill id rejected by unique index. GRN reversal negates by flag rather than requiring a negative amount.",Void currently excludes the bill wholesale rather than posting a compensating entry. A signed event ledger would be preferable for a true accounting audit trail.,Reversal documents negate by accounting_status rather than by data entry.
AUD-C-005,Critical,Fixed,app/backend/migrations/002_financial_controls.sql; app/backend/domain.py; app/backend/services.py,DOM-006; DOM-007; SCHEMA-003; REV-001,budget_line rebuilt with status and effective_date; ledger counts only Approved AND effective<=today. CHECK constrains sign by kind (positive RETURN rejected). Trigger makes ORIGINAL rows immutable and undeletable. Revision creation now returns 201 (previously HTTP 500).,Effectivity uses today() with no accounting-period or cut-off calendar.,Submitted and future-dated revisions create no spending capacity; verified by API returning 201 with an explicit note.
AUD-C-006,Critical,Fixed,app/backend/auth.py; app/backend/main.py; app/backend/migrations/002_financial_controls.sql,SEC-001; SEC-003; SEC-004; SEC-005; API-001,Anonymous and arbitrary-bearer requests return 401. Seven server-side roles with a least-privilege permission matrix. Requestor self-approving own PR returns 403 FORBIDDEN; independent ProcurementApprover succeeds. Revision self-approval 403. Audit read by Requestor 403.,"This is a DEVELOPMENT identity provider: no federation, MFA, password policy, lockout or user lifecycle. Enterprise IdP integration remains production work.",Actor identity is derived from a server-side session; the request body can no longer nominate an actor.
AUD-C-007,Critical,Partially fixed,app/backend/services.py; app/backend/migrations/002_financial_controls.sql,INT-002; WF-001; WF-002; DOM-005,"idempotency_key table with (key, route, request hash) and conflict detection; repeated sync with the same key returns an idempotent replay without a second sync. Duplicate approvals return 409 INVALID_TRANSITION. Unique index on (external_source, external_id) for bills and POs.","The external_document table exists but inbound bill/PO import does not yet write to it, because there is no live import path (connector is MOCK). Idempotency is proven for API-level replay, not for a real webhook stream.",Duplicate external bill id is rejected at the database level today.
AUD-C-008,Critical,Fixed,app/backend/migrations/002_financial_controls.sql; app/backend/domain.py,DOM-010; WBS-001,lifecycle_state table is the single source of truth; unknown states deny by default. Draft project now returns PROJECT_STATE; Closed WBS returns WBS_STATE. A trigger derives allow_procurement/allow_posting from status so the flags cannot disagree with the recorded state.,A formal reopen workflow is not implemented; reopening is a status change by an authorised role rather than an approval-gated transition.,Permissive flags can no longer contradict the lifecycle status.
AUD-C-009,Critical,Fixed,app/backend/services.py; app/backend/migrations/002_financial_controls.sql,CAP-001; CAP-002; CAP-003; CAP-004,Negative allocation returns 422 INVALID_AMOUNT; write-off without reason returns 422 REASON_REQUIRED; capitalisation with open commitment returns 409 CAPITALISATION_BLOCKED; duplicate approval returns 409; allocation total must equal the CWIP balance exactly. DB triggers enforce positive allocation and write-off reason independently.,"Approval remains a LOCAL status change. No ERP, GL or fixed-asset posting exists; the response states posting_status = NOT POSTED so the status cannot be mistaken for a completed accounting entry.",Maker-checker applies: the requestor cannot approve the capitalisation.
AUD-C-010,Critical,Fixed,app/backend/services.py; app/backend/main.py; app/backend/migrations/002_financial_controls.sql,SEC-006; SCHEMA-004,Triggers block UPDATE and DELETE on audit_log (both replayed and blocked). Entries are SHA-256 hash-chained; /api/audit/verify reports intact=True over the chain. /api/admin/reset returns 401 anonymously and 403 RESET_DISABLED for an authenticated Administrator unless CAPEX_PROFILE=local-demo.,"The database file itself remains writable by anyone with filesystem access; true WORM storage and a restricted DB identity are production work. The hash chain makes such tampering detectable, not impossible.",Audit read access is separated from operational mutation access.
